municipio_distrito;fecha_informe;casos_confirmados_ultimos_14dias;tasa_incidencia_acumulada_ultimos_14dias;casos_confirmados_totales;tasa_incidencia_acumulada_total;codigo_geometria
Olmeda de las Fuentes;15/05/2020 9:00;;0;;862,07;1013
Bustarviejo;15/05/2020 9:00;;0;7;279,66;284
Becerril de la Sierra;15/05/2020 9:00;;0;32;560,03;186
Fuenlabrada;15/05/2020 9:00;40;20,65;1538;794,01;587
Garganta de los Montes;15/05/2020 9:00;;0;;288,18;626
Pinto;15/05/2020 9:00;16;30,46;277;527,36;1132
Alameda del Valle;15/05/2020 9:00;;0;;0;35
Berzosa del Lozoya;15/05/2020 9:00;;0;;975,61;203
Los Santos de la Humosa;15/05/2020 9:00;;0;20;772,2;1375
El Álamo;15/05/2020 9:00;;21,12;79;834,21;40
Pelayos de la Presa;15/05/2020 9:00;;38,52;18;693,37;1090
Galapagar;15/05/2020 9:00;23;68,16;271;803,15;611
Griñón;15/05/2020 9:00;;29,07;85;823,72;663
Gargantilla del Lozoya y Pinilla de Buitrago;15/05/2020 9:00;;316,46;;1265,82;632
Aldea del Fresno;15/05/2020 9:00;;105,71;57;2008,46;88
Carabaña;15/05/2020 9:00;;0;14;696,52;357
Talamanca de Jarama;15/05/2020 9:00;;51,85;29;751,88;1454
Chapinería;15/05/2020 9:00;;42,96;7;300,69;513
Ciempozuelos;15/05/2020 9:00;16;65,06;238;967,79;409
Ajalvir;15/05/2020 9:00;;0;14;297,11;29
San Lorenzo de El Escorial;15/05/2020 9:00;11;59,88;140;762,15;1317
Gascones;15/05/2020 9:00;;0;;0;647
San Martín de la Vega;15/05/2020 9:00;;20,87;90;469,48;1322
Móstoles;15/05/2020 9:00;150;71,71;2092;1000,08;920
Leganés;15/05/2020 9:00;69;36,34;2973;1565,88;745
Braojos;15/05/2020 9:00;;0;;975,61;246
Cubas de la Sagra;15/05/2020 9:00;;15,59;28;436,61;506
Algete;15/05/2020 9:00;;19,41;109;528,84;91
Mejorada del Campo;15/05/2020 9:00;;4,3;173;743,32;843
Loeches;15/05/2020 9:00;;11,38;49;557,39;758
Parla;15/05/2020 9:00;15;11,53;752;577,91;1065
Fuentidueña de Tajo;15/05/2020 9:00;;48,71;18;876,77;604
Ambite;15/05/2020 9:00;;0;7;1182,43;112
Torremocha de Jarama;15/05/2020 9:00;;0;8;785,08;1533
Anchuelo;15/05/2020 9:00;;0;7;550,75;127
Los Molinos;15/05/2020 9:00;;91,14;57;1298,7;875
Soto del Real;15/05/2020 9:00;;22,73;65;738,72;1441
Valverde de Alcalá;15/05/2020 9:00;;0;8;1720,43;1662
Fuente el Saz de Jarama;15/05/2020 9:00;;29,87;34;507,77;590
Horcajo de la Sierra-Aoslos;15/05/2020 9:00;;0;;2758,62;702
Valdeolmos-Alalpardo;15/05/2020 9:00;;0;11;265,96;1625
Campo Real;15/05/2020 9:00;;0;24;386,47;339
Valdeavero;15/05/2020 9:00;;0;8;514,8;1564
Villamanrique de Tajo;15/05/2020 9:00;;0;;568,99;1739
Cobeña;15/05/2020 9:00;9;121,16;74;996,23;416
Fresnedillas de la Oliva;15/05/2020 9:00;;0;9;572,52;565
Valdilecha;15/05/2020 9:00;;0;18;613,71;1659
El Berrueco;15/05/2020 9:00;;0;8;1052,63;210
Pezuela de las Torres;15/05/2020 9:00;;0;;237,53;1111
Villar del Olmo;15/05/2020 9:00;;0;;198,91;1795
Guadarrama;15/05/2020 9:00;15;93,56;215;1341,07;685
San Martín de Valdeiglesias;15/05/2020 9:00;;23,64;86;1016,67;1338
Torrelodones;15/05/2020 9:00;19;80,11;343;1446,22;1527
Boadilla del Monte;15/05/2020 9:00;44;80,63;349;639,55;225
Torrejón de Velasco;15/05/2020 9:00;;0;20;456,41;1505
Villanueva de Perales;15/05/2020 9:00;;0;;319,9;1782
Tielmes;15/05/2020 9:00;;0;33;1245,28;1467
San Sebastián de los Reyes;15/05/2020 9:00;14;15,68;487;545,5;1343
Guadalix de la Sierra;15/05/2020 9:00;12;193,11;50;804,63;679
Humanes de Madrid;15/05/2020 9:00;10;50,65;119;602,75;730
Villavieja del Lozoya;14/05/2020 9:00;;0;;0;1821
Chinchón;15/05/2020 9:00;;18,76;26;487,71;528
Cadalso de los Vidrios;15/05/2020 9:00;;0;8;263,24;318
Hoyo de Manzanares;15/05/2020 9:00;;59,28;38;450,56;724
Torrejón de la Calzada;15/05/2020 9:00;;0;37;417,04;1492
Estremera;15/05/2020 9:00;;0;9;714,29;552
Corpa;15/05/2020 9:00;;0;6;841,51;480
Meco;15/05/2020 9:00;;6,99;128;894,79;838
Zarzalejo;15/05/2020 9:00;7;422,2;29;1749,1;1837
Arganda del Rey;15/05/2020 9:00;12;21,66;346;624,67;148
Collado Mediano;15/05/2020 9:00;;14,37;32;459,9;468
Daganzo de Arriba;15/05/2020 9:00;;19,6;41;401,76;534
Manzanares El Real;15/05/2020 9:00;;56,56;43;486,43;822
Buitrago del Lozoya;15/05/2020 9:00;;0;15;796,18;278
Valdelaguna;15/05/2020 9:00;;0;;106,72;1570
Valdepiélagos;15/05/2020 9:00;;0;;0;1631
Casarrubuelos;15/05/2020 9:00;;0;11;291,16;360
Miraflores de la Sierra;15/05/2020 9:00;;16,37;36;589,39;856
Paracuellos de Jarama;15/05/2020 9:00;;3,96;71;280,98;1049
El Vellón;15/05/2020 9:00;;0;13;663,94;1684
Collado Villalba;15/05/2020 9:00;30;47,11;517;811,88;474
Colmenarejo;15/05/2020 9:00;;54,76;47;514,79;442
Villavieja del Lozoya;15/05/2020 9:00;;0;;0;1821
Prádena del Rincón;15/05/2020 9:00;;0;;0;1179
La Cabrera;15/05/2020 9:00;;0;11;412,45;301
Sevilla la Nueva;15/05/2020 9:00;6;64,39;131;1405,88;1415
La Acebeda;15/05/2020 9:00;;0;;0;14
Redueña;15/05/2020 9:00;;0;;769,23;1219
Robledillo de la Jara;15/05/2020 9:00;;0;;1250;1245
La Serna del Monte;15/05/2020 9:00;;0;;0;1381
Colmenar de Oreja;15/05/2020 9:00;;0;25;311,25;437
Rozas de Puerto Real;15/05/2020 9:00;;0;;566,04;1283
Valdemanco;15/05/2020 9:00;;0;;109,41;1586
Brunete;15/05/2020 9:00;38;353,95;113;1052,53;262
Titulcia;15/05/2020 9:00;;76,16;9;685,45;1473
Villa del Prado;15/05/2020 9:00;;76,69;119;1825,15;1718
Lozoyuela-Navas-Sieteiglesias;15/05/2020 9:00;;0;;230,95;9015
Quijorna;15/05/2020 9:00;;0;22;639,72;1198
Valdemoro;15/05/2020 9:00;18;23,69;779;1025,23;1610
Tres Cantos;15/05/2020 9:00;76;159,26;418;875,91;9036
Torrelaguna;15/05/2020 9:00;;84,03;22;462,18;1512
Rivas-Vaciamadrid;15/05/2020 9:00;22;24,96;558;633,01;1230
El Atazar;15/05/2020 9:00;;0;;0;164
Pedrezuela;15/05/2020 9:00;;16,97;25;424,3;1087
Santa María de la Alameda;15/05/2020 9:00;;0;6;478,47;1356
Horcajuelo de la Sierra;15/05/2020 9:00;;0;;0;719
Villaviciosa de Odón;10/05/2020 9:00;13;46,7;206;740,08;1816
Camarma de Esteruelas;10/05/2020 9:00;;13,63;42;572,52;323
Robledo de Chavela;10/05/2020 9:00;;70,26;26;608,9;1258
Patones;10/05/2020 9:00;;0;6;1109,06;1071
Navalagamella;10/05/2020 9:00;;0;6;229,89;954
Rascafría;10/05/2020 9:00;;0;6;360,58;1202
El Boalo;10/05/2020 9:00;;13,32;39;519,45;231
Ambite;11/05/2020 9:00;;0;7;1182,43;112
Belmonte de Tajo;10/05/2020 9:00;;0;;300,48;199
Loeches;11/05/2020 9:00;;11,38;49;557,39;758
Parla;11/05/2020 9:00;21;16,14;745;572,53;1065
Fuentidueña de Tajo;11/05/2020 9:00;;0;17;828,06;604
Cenicientos                                 ;28/04/2020 7:00;;98,38;20;983,77;376
Puentes Viejas                              ;28/04/2020 7:00;;0;;294,55;9020
Aranjuez                                    ;28/04/2020 7:00;44;73,82;425;713;133
Cercedilla                                  ;28/04/2020 7:00;19;270,42;96;1366,35;382
Santorcaz                                   ;28/04/2020 7:00;;0;7;790,07;1369
Coslada                                     ;28/04/2020 7:00;64;78,37;769;941,7;493
Morata de Tajuña                            ;28/04/2020 7:00;6;78,09;93;1210,46;915
Robregordo                                  ;28/04/2020 7:00;;0;;0;1261
Navarredonda y San Mamés                    ;28/04/2020 7:00;;775,19;;1550,39;973
Venturada                                   ;28/04/2020 7:00;;46,23;;138,7;1697
Alcalá de Henares;15/05/2020 9:00;37;18,91;2344;1198,06;53
Colmenar Viejo;15/05/2020 9:00;63;124,13;422;831,49;455
San Fernando de Henares;15/05/2020 9:00;9;22,82;414;1049,91;1300
Villalbilla;15/05/2020 9:00;;14,41;92;662,92;1723
El Escorial;15/05/2020 9:00;35;216,56;138;853,85;549
Colmenar del Arroyo;15/05/2020 9:00;;57,97;49;2840,58;421
Torrejón de Ardoz;15/05/2020 9:00;38;28,92;983;748,23;1489
Piñuécar-Gandullas;15/05/2020 9:00;;0;;0;1147
Brea de Tajo;15/05/2020 9:00;;0;6;1145,04;259
El Molar;15/05/2020 9:00;;0;35;391,59;869
Belmonte de Tajo;15/05/2020 9:00;;0;;300,48;199
Torres de la Alameda;15/05/2020 9:00;;0;75;964,13;1548
Somosierra;15/05/2020 9:00;;0;;1162,79;1436
Alpedrete;15/05/2020 9:00;;6,86;140;960,55;105
Orusco de Tajuña;15/05/2020 9:00;;0;17;1366,56;1028
La Hiruela;15/05/2020 9:00;;0;;1754,39;698
Cervera de Buitrago;15/05/2020 9:00;;0;;2000;395
Getafe;15/05/2020 9:00;33;18;1293;705,12;650
Ribatejada;15/05/2020 9:00;;0;;255,43;1224
Villaconejos;15/05/2020 9:00;;29,52;9;265,64;1701
Valdetorres de Jarama;15/05/2020 9:00;;0;17;378,03;1646
Madrid-Retiro;14/05/2020 9:00;71;59,51;1448;1213,57;79603
Madrid-Salamanca;14/05/2020 9:00;56;38,33;1618;1107,43;79604
Madrid-Centro;14/05/2020 9:00;35;25,96;1143;847,62;79601
Madrid-Arganzuela;14/05/2020 9:00;49;31,86;1560;1014,28;79602
Madrid-Chamartín;14/05/2020 9:00;40;27,43;1594;1092,91;79605
Madrid-Tetuán;14/05/2020 9:00;41;25,95;2094;1325,12;79606
Madrid-Chamberí;14/05/2020 9:00;54;38,74;1523;1092,7;79607
Madrid-Fuencarral-El Pardo;14/05/2020 9:00;86;34,97;2943;1196,64;79608
Madrid-Moncloa-Aravaca;14/05/2020 9:00;67;56,1;1400;1172,34;79609
Madrid-Latina;14/05/2020 9:00;94;39,46;2726;1144,33;79610
Madrid-Carabanchel;14/05/2020 9:00;110;43,46;2659;1050,58;79611
Madrid-Usera;14/05/2020 9:00;41;29,34;1372;981,82;79612
Madrid-Puente de Vallecas;14/05/2020 9:00;107;45,56;3016;1284,19;79613
Madrid-San Blas - Canillejas;14/05/2020 9:00;50;31,62;1440;910,57;79620
Madrid-Barajas;14/05/2020 9:00;7;14,3;420;858,11;79621
Madrid-Moratalaz;14/05/2020 9:00;40;42,3;1307;1382,05;79614
Madrid-Ciudad Lineal;14/05/2020 9:00;53;24,5;2168;1002,39;79615
Madrid-Hortaleza;14/05/2020 9:00;32;17;1714;910,8;79616
Madrid-Villaverde;14/05/2020 9:00;47;31,56;1401;940,61;79617
Madrid-Villa de Vallecas;14/05/2020 9:00;34;30,81;1199;1086,4;79618
Madrid-Vicálvaro;14/05/2020 9:00;59;81,84;809;1122,19;79619
Pozuelo de Alarcón;14/05/2020 9:00;43;49,76;791;915,28;1150
Alcorcón;14/05/2020 9:00;59;34,6;1824;1069,71;72
Navalcarnero;14/05/2020 9:00;9;30,72;172;587,07;967
San Agustín del Guadalix;14/05/2020 9:00;;14,95;62;463,41;1296
Las Rozas de Madrid;14/05/2020 9:00;33;34,44;780;814,08;1277
Moraleja de Enmedio;14/05/2020 9:00;;19,47;25;486,76;894
Valdaracete;14/05/2020 9:00;;164,2;6;985,22;1551
Pozuelo del Rey;14/05/2020 9:00;;0;;174,37;1163
Puebla de la Sierra;14/05/2020 9:00;;0;;0;1185
Perales de Tajuña;14/05/2020 9:00;;68,14;10;340,72;1104
Valdemorillo;14/05/2020 9:00;;31,95;50;399,42;1603
Navalafuente;14/05/2020 9:00;;69,01;7;483,09;941
Velilla de San Antonio;14/05/2020 9:00;;24,52;72;588,43;1678
Villanueva de la Cañada;14/05/2020 9:00;12;55,96;147;685,47;1760
Villanueva del Pardillo;14/05/2020 9:00;;23,28;103;599,53;1776
Nuevo Baztán;14/05/2020 9:00;;0;28;446,14;1006
Villamantilla;14/05/2020 9:00;;0;7;485,77;1757
Villamanta;14/05/2020 9:00;;0;12;469,67;1744
Cabanillas de la Sierra;14/05/2020 9:00;;0;10;1322,75;297
Cenicientos;14/05/2020 9:00;;98,38;27;1328,09;376
Puentes Viejas;14/05/2020 9:00;;0;;294,55;9020
Aranjuez;14/05/2020 9:00;6;10,07;445;746,56;133
Cercedilla;14/05/2020 9:00;12;170,79;118;1679,48;382
Santorcaz;14/05/2020 9:00;;0;7;790,07;1369
Coslada;14/05/2020 9:00;20;24,49;800;979,66;493
Morata de Tajuña;14/05/2020 9:00;;39,05;98;1275,54;915
Robregordo;14/05/2020 9:00;;0;;0;1261
Navarredonda y San Mamés;14/05/2020 9:00;;0;;1550,39;973
Venturada;14/05/2020 9:00;;0;;138,7;1697
Navacerrada;14/05/2020 9:00;;0;18;605,65;936
Montejo de la Sierra;14/05/2020 9:00;;0;;283,29;881
Fresno de Torote;14/05/2020 9:00;;0;14;630,35;571
Pinilla del Valle;14/05/2020 9:00;;0;;0;1126
Valdemaqueda;14/05/2020 9:00;;0;;640,2;1599
Navas del Rey;14/05/2020 9:00;15;514,05;78;2673,06;992
Olmeda de las Fuentes;14/05/2020 9:00;;0;;862,07;1013
Bustarviejo;14/05/2020 9:00;;0;7;279,66;284
Becerril de la Sierra;14/05/2020 9:00;;17,5;32;560,03;186
Fuenlabrada;14/05/2020 9:00;42;21,68;1535;792,46;587
Garganta de los Montes;14/05/2020 9:00;;0;;288,18;626
Pinto;14/05/2020 9:00;18;34,27;276;525,45;1132
Alameda del Valle;14/05/2020 9:00;;0;;0;35
Berzosa del Lozoya;14/05/2020 9:00;;0;;975,61;203
Los Santos de la Humosa;14/05/2020 9:00;;0;20;772,2;1375
El Álamo;14/05/2020 9:00;;42,24;79;834,21;40
Pelayos de la Presa;14/05/2020 9:00;;38,52;18;693,37;1090
Galapagar;14/05/2020 9:00;27;80,02;271;803,15;611
Griñón;14/05/2020 9:00;;29,07;85;823,72;663
Gargantilla del Lozoya y Pinilla de Buitrago;14/05/2020 9:00;;316,46;;1265,82;632
Aldea del Fresno;14/05/2020 9:00;;105,71;57;2008,46;88
Carabaña;14/05/2020 9:00;;0;14;696,52;357
Talamanca de Jarama;14/05/2020 9:00;;77,78;29;751,88;1454
Chapinería;14/05/2020 9:00;;42,96;7;300,69;513
Ciempozuelos;14/05/2020 9:00;16;65,06;238;967,79;409
Ajalvir;14/05/2020 9:00;;0;14;297,11;29
San Lorenzo de El Escorial;14/05/2020 9:00;11;59,88;140;762,15;1317
Gascones;14/05/2020 9:00;;0;;0;647
San Martín de la Vega;14/05/2020 9:00;;26,08;90;469,48;1322
Móstoles;14/05/2020 9:00;160;76,49;2090;999,12;920
Leganés;14/05/2020 9:00;71;37,4;2969;1563,78;745
Braojos;14/05/2020 9:00;;0;;975,61;246
Cubas de la Sagra;14/05/2020 9:00;;15,59;28;436,61;506
Algete;14/05/2020 9:00;;19,41;109;528,84;91
Mejorada del Campo;14/05/2020 9:00;;8,59;173;743,32;843
Garganta de los Montes;13/05/2020 9:00;;0;;288,18;626
Loeches;14/05/2020 9:00;;11,38;49;557,39;758
Parla;14/05/2020 9:00;16;12,3;752;577,91;1065
Fuentidueña de Tajo;14/05/2020 9:00;;48,71;18;876,77;604
Ambite;14/05/2020 9:00;;0;7;1182,43;112
Torremocha de Jarama;14/05/2020 9:00;;0;8;785,08;1533
Anchuelo;14/05/2020 9:00;;0;7;550,75;127
Los Molinos;14/05/2020 9:00;;91,14;57;1298,7;875
Soto del Real;14/05/2020 9:00;;22,73;65;738,72;1441
Valverde de Alcalá;14/05/2020 9:00;;0;8;1720,43;1662
Fuente el Saz de Jarama;14/05/2020 9:00;;29,87;34;507,77;590
Horcajo de la Sierra-Aoslos;14/05/2020 9:00;;0;;2758,62;702
Valdeolmos-Alalpardo;14/05/2020 9:00;;0;11;265,96;1625
Campo Real;14/05/2020 9:00;;16,1;24;386,47;339
Valdeavero;14/05/2020 9:00;;0;8;514,8;1564
Villamanrique de Tajo;14/05/2020 9:00;;0;;568,99;1739
Cobeña;14/05/2020 9:00;9;121,16;74;996,23;416
Fresnedillas de la Oliva;14/05/2020 9:00;;0;9;572,52;565
Valdilecha;14/05/2020 9:00;;0;18;613,71;1659
El Berrueco;14/05/2020 9:00;;0;8;1052,63;210
Pezuela de las Torres;14/05/2020 9:00;;0;;237,53;1111
Villar del Olmo;14/05/2020 9:00;;0;;198,91;1795
Guadarrama;14/05/2020 9:00;15;93,56;215;1341,07;685
San Martín de Valdeiglesias;14/05/2020 9:00;;23,64;86;1016,67;1338
Torrelodones;14/05/2020 9:00;21;88,54;343;1446,22;1527
Boadilla del Monte;14/05/2020 9:00;44;80,63;348;637,71;225
Torrejón de Velasco;14/05/2020 9:00;;22,82;20;456,41;1505
Villanueva de Perales;14/05/2020 9:00;;0;;319,9;1782
Tielmes;14/05/2020 9:00;;37,74;33;1245,28;1467
San Sebastián de los Reyes;14/05/2020 9:00;16;17,92;487;545,5;1343
Guadalix de la Sierra;14/05/2020 9:00;12;193,11;50;804,63;679
Humanes de Madrid;14/05/2020 9:00;10;50,65;118;597,68;730
Chinchón;14/05/2020 9:00;;18,76;26;487,71;528
Cadalso de los Vidrios;14/05/2020 9:00;;0;8;263,24;318
Hoyo de Manzanares;14/05/2020 9:00;6;71,14;38;450,56;724
Torrejón de la Calzada;14/05/2020 9:00;;0;37;417,04;1492
Estremera;14/05/2020 9:00;;0;9;714,29;552
Corpa;14/05/2020 9:00;;0;6;841,51;480
Meco;14/05/2020 9:00;;6,99;128;894,79;838
Madarcos;14/05/2020 9:00;;0;;0;783
Zarzalejo;14/05/2020 9:00;7;422,2;29;1749,1;1837
Arganda del Rey;14/05/2020 9:00;13;23,47;346;624,67;148
Collado Mediano;14/05/2020 9:00;;14,37;32;459,9;468
Daganzo de Arriba;14/05/2020 9:00;;19,6;41;401,76;534
Manzanares El Real;14/05/2020 9:00;;56,56;43;486,43;822
Buitrago del Lozoya;14/05/2020 9:00;;0;15;796,18;278
Valdelaguna;14/05/2020 9:00;;0;;106,72;1570
Valdepiélagos;14/05/2020 9:00;;0;;0;1631
Casarrubuelos;14/05/2020 9:00;;0;11;291,16;360
Miraflores de la Sierra;14/05/2020 9:00;;16,37;36;589,39;856
Paracuellos de Jarama;14/05/2020 9:00;;3,96;71;280,98;1049
El Vellón;14/05/2020 9:00;;0;13;663,94;1684
Lozoya;14/05/2020 9:00;;0;;172,12;761
Collado Villalba;14/05/2020 9:00;32;50,25;497;780,48;474
Colmenarejo;14/05/2020 9:00;6;65,72;47;514,79;442
Prádena del Rincón;14/05/2020 9:00;;0;;0;1179
La Cabrera;14/05/2020 9:00;;0;11;412,45;301
Sevilla la Nueva;14/05/2020 9:00;7;75,12;130;1395,15;1415
La Acebeda;14/05/2020 9:00;;0;;0;14
Redueña;14/05/2020 9:00;;0;;769,23;1219
Robledillo de la Jara;14/05/2020 9:00;;0;;1250;1245
La Serna del Monte;14/05/2020 9:00;;0;;0;1381
Colmenar de Oreja;14/05/2020 9:00;;0;25;311,25;437
Rozas de Puerto Real;14/05/2020 9:00;;0;;566,04;1283
Valdemanco;14/05/2020 9:00;;0;;109,41;1586
Brunete;14/05/2020 9:00;39;363,26;113;1052,53;262
Titulcia;14/05/2020 9:00;;76,16;9;685,45;1473
Villa del Prado;14/05/2020 9:00;;61,35;118;1809,82;1718
Lozoyuela-Navas-Sieteiglesias;14/05/2020 9:00;;0;;230,95;9015
Quijorna;14/05/2020 9:00;;0;22;639,72;1198
Valdemoro;14/05/2020 9:00;23;30,27;778;1023,91;1610
Tres Cantos;14/05/2020 9:00;51;106,87;393;823,52;9036
Torrelaguna;14/05/2020 9:00;;84,03;22;462,18;1512
Rivas-Vaciamadrid;14/05/2020 9:00;24;27,23;557;631,88;1230
El Atazar;14/05/2020 9:00;;0;;0;164
Pedrezuela;14/05/2020 9:00;;16,97;25;424,3;1087
Santa María de la Alameda;14/05/2020 9:00;;0;6;478,47;1356
Horcajuelo de la Sierra;14/05/2020 9:00;;0;;0;719
Arroyomolinos;14/05/2020 9:00;19;60,52;179;570,14;151
Moralzarzal;14/05/2020 9:00;7;53,74;76;583,45;908
Canencia;14/05/2020 9:00;;0;;447,43;344
Villarejo de Salvanés;14/05/2020 9:00;;13,63;36;490,8;1809
Serranillos del Valle;14/05/2020 9:00;;0;33;792,32;1408
Villaviciosa de Odón;14/05/2020 9:00;12;43,11;208;747,26;1816
Camarma de Esteruelas;14/05/2020 9:00;;0;42;572,52;323
Robledo de Chavela;14/05/2020 9:00;;46,84;28;655,74;1258
Patones;14/05/2020 9:00;;0;6;1109,06;1071
Navalagamella;14/05/2020 9:00;;0;6;229,89;954
Rascafría;14/05/2020 9:00;;0;6;360,58;1202
El Boalo;14/05/2020 9:00;;13,32;42;559,4;231
Majadahonda;14/05/2020 9:00;30;41,77;567;789,41;800
Batres;14/05/2020 9:00;;0;8;475,06;170
Alcobendas;14/05/2020 9:00;44;37,59;767;655,33;66
Alcalá de Henares;14/05/2020 9:00;42;21,47;2342;1197,04;53
Colmenar Viejo;14/05/2020 9:00;61;120,19;419;825,58;455
San Fernando de Henares;14/05/2020 9:00;9;22,82;413;1047,37;1300
Villalbilla;14/05/2020 9:00;;21,62;92;662,92;1723
El Escorial;14/05/2020 9:00;37;228,93;137;847,67;549
Colmenar del Arroyo;14/05/2020 9:00;;57,97;49;2840,58;421
Torrejón de Ardoz;14/05/2020 9:00;33;25,12;973;740,62;1489
Piñuécar-Gandullas;14/05/2020 9:00;;0;;0;1147
Brea de Tajo;14/05/2020 9:00;;190,84;6;1145,04;259
El Molar;14/05/2020 9:00;;0;35;391,59;869
Belmonte de Tajo;14/05/2020 9:00;;0;;300,48;199
Torres de la Alameda;14/05/2020 9:00;;12,86;75;964,13;1548
Somosierra;14/05/2020 9:00;;0;;1162,79;1436
Alpedrete;14/05/2020 9:00;;6,86;140;960,55;105
Orusco de Tajuña;14/05/2020 9:00;;0;17;1366,56;1028
Brea de Tajo                                ;09/05/2020 7:00;;190,84;6;1145,04;259
El Molar                                    ;09/05/2020 7:00;;11,19;35;391,59;869
Belmonte de Tajo                            ;09/05/2020 7:00;;0;;300,48;199
Torres de la Alameda                        ;09/05/2020 7:00;;25,71;75;964,13;1548
Somosierra                                  ;09/05/2020 7:00;;0;;1162,79;1436
Alpedrete                                   ;09/05/2020 7:00;34;233,28;139;953,69;105
Orusco de Tajuña                            ;09/05/2020 7:00;;0;17;1366,56;1028
La Hiruela                                  ;09/05/2020 7:00;;0;;1754,39;698
Cervera de Buitrago                         ;09/05/2020 7:00;;0;;2000;395
Getafe                                      ;09/05/2020 7:00;72;39,26;1270;692,57;650
Ribatejada                                  ;09/05/2020 7:00;;127,71;;255,43;1224
Villaconejos                                ;09/05/2020 7:00;;29,52;9;265,64;1701
Valdetorres de Jarama                       ;09/05/2020 7:00;;22,24;17;378,03;1646
Madrid-Retiro                               ;08/05/2020 7:00;121;101,41;1427;1195,97;79603
Madrid-Salamanca                            ;08/05/2020 7:00;86;58,86;1595;1091,69;79604
Madrid-Centro                               ;08/05/2020 7:00;53;39,3;1121;831,31;79601
Madrid-Arganzuela                           ;08/05/2020 7:00;90;58,52;1541;1001,93;79602
Madrid-Chamartín                            ;08/05/2020 7:00;104;71,31;1573;1078,51;79605
Madrid-Tetuán                               ;08/05/2020 7:00;81;51,26;2069;1309,3;79606
Madrid-Chamberí                             ;08/05/2020 7:00;90;64,57;1492;1070,46;79607
Madrid-Fuencarral-El Pardo                  ;08/05/2020 7:00;120;48,79;2887;1173,87;79608
La Serna del Monte                          ;06/05/2020 7:00;;0;;0;1381
Madrid-Fuencarral-El Pardo;13/05/2020 9:00;93;37,81;2934;1192,98;79608
Madrid-Moncloa-Aravaca;13/05/2020 9:00;71;59,45;1348;1128,8;79609
Madrid-Latina;13/05/2020 9:00;121;50,79;2714;1139,29;79610
Madrid-Carabanchel;13/05/2020 9:00;100;39,51;2636;1041,49;79611
Madrid-Usera;13/05/2020 9:00;38;27,19;1365;976,81;79612
Madrid-Puente de Vallecas;13/05/2020 9:00;105;44,71;2993;1274,39;79613
Madrid-San Blas - Canillejas;13/05/2020 9:00;49;30,98;1429;903,62;79620
Madrid-Barajas;13/05/2020 9:00;8;16,34;419;856,06;79621
Madrid-Vicálvaro                            ;08/05/2020 7:00;44;61,03;778;1079,19;79619
Pozuelo de Alarcón                          ;08/05/2020 7:00;65;75,21;758;877,09;1150
Alcorcón                                    ;08/05/2020 7:00;109;63,92;1786;1047,42;72
Navalcarnero                                ;08/05/2020 7:00;13;44,37;169;576,83;967
San Agustín del Guadalix                    ;08/05/2020 7:00;;22,42;60;448,46;1296
Las Rozas de Madrid                         ;08/05/2020 7:00;66;68,88;767;800,51;1277
Moraleja de Enmedio                         ;08/05/2020 7:00;;38,94;25;486,76;894
Valdaracete                                 ;08/05/2020 7:00;;0;;821,02;1551
Pozuelo del Rey                             ;08/05/2020 7:00;;0;;174,37;1163
Madrid-Moratalaz;13/05/2020 9:00;34;35,95;1297;1371,47;79614
Madrid-Ciudad Lineal;13/05/2020 9:00;56;25,89;2165;1001;79615
Madrid-Hortaleza;13/05/2020 9:00;32;17;1709;908,14;79616
Madrid-Villaverde;13/05/2020 9:00;49;32,9;1396;937,25;79617
Madrid-Villa de Vallecas;13/05/2020 9:00;31;28,09;1195;1082,77;79618
Madrid-Vicálvaro;13/05/2020 9:00;40;55,49;785;1088,9;79619
Pozuelo de Alarcón;13/05/2020 9:00;32;37,03;770;890,98;1150
Alcorcón;13/05/2020 9:00;63;36,95;1814;1063,84;72
Navalcarnero;13/05/2020 9:00;10;34,13;172;587,07;967
San Agustín del Guadalix;13/05/2020 9:00;;22,42;62;463,41;1296
Las Rozas de Madrid;13/05/2020 9:00;28;29,22;769;802,6;1277
Moraleja de Enmedio;13/05/2020 9:00;;19,47;25;486,76;894
Valdaracete;13/05/2020 9:00;;164,2;6;985,22;1551
Pozuelo del Rey;13/05/2020 9:00;;0;;174,37;1163
Puebla de la Sierra;13/05/2020 9:00;;0;;0;1185
Perales de Tajuña;13/05/2020 9:00;;68,14;10;340,72;1104
Valdemorillo;13/05/2020 9:00;;23,97;49;391,44;1603
Navalafuente;13/05/2020 9:00;;69,01;7;483,09;941
Velilla de San Antonio;13/05/2020 9:00;;40,86;70;572,08;1678
Villanueva de la Cañada;13/05/2020 9:00;10;46,63;145;676,15;1760
Villanueva del Pardillo;13/05/2020 9:00;7;40,75;103;599,53;1776
Nuevo Baztán;13/05/2020 9:00;;0;28;446,14;1006
Villamantilla;13/05/2020 9:00;;0;7;485,77;1757
Villamanta;13/05/2020 9:00;;0;12;469,67;1744
Cabanillas de la Sierra;13/05/2020 9:00;;0;10;1322,75;297
Cenicientos;13/05/2020 9:00;;49,19;26;1278,9;376
Puentes Viejas;13/05/2020 9:00;;0;;294,55;9020
Aranjuez;13/05/2020 9:00;6;10,07;444;744,88;133
Cercedilla;13/05/2020 9:00;;56,93;108;1537,15;382
Santorcaz;13/05/2020 9:00;;0;7;790,07;1369
